,DeviceID,Date,Location,DurationOfStay
0,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-25,"(16.713679583333334, 42.957827083333335)",0.22138888888888889
1,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-25,"(16.714510607950118, 42.95582645752143)",12.653333333333334
2,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-25,"(16.7869165625, 42.96190515625)",0.7027777777777777
3,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-25,Other,2.143333333333333
62,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-25,Unknown,8.279166666666665
4,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,"(16.713679583333334, 42.957827083333335)",0.10722222222222222
5,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,"(16.714510607950118, 42.95582645752143)",17.884722222222223
6,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,"(16.773647, 42.736835)",0.0019444444444444446
7,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,"(16.784054, 42.947344)",0.010555555555555556
8,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,"(16.788925454545456, 42.965807272727275)",0.023055555555555555
9,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,Other,2.943888888888889
66,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-26,Unknown,3.028611111111111
10,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-28,"(16.714510607950118, 42.95582645752143)",12.835833333333333
11,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-28,Other,0.0
72,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-28,Unknown,11.164166666666667
12,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-29,"(16.714510607950118, 42.95582645752143)",17.486944444444447
13,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-29,Other,0.012777777777777779
74,42181141-adf9-2b5d-deea-18a2a9234a11,2023-09-29,Unknown,6.500277777777775
14,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-03,"(16.713679583333334, 42.957827083333335)",0.11638888888888889
15,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-03,"(16.714510607950118, 42.95582645752143)",2.4725
16,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-03,"(16.71691942622951, 42.95578942622951)",6.0344444444444445
17,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-03,Other,5.3975
76,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-03,Unknown,9.979166666666668
18,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.714510607950118, 42.95582645752143)",11.6775
19,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.71691942622951, 42.95578942622951)",0.733611111111111
20,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.719844705882352, 42.950097647058826)",0.014444444444444444
21,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.727044375, 42.9327325)",0.016944444444444446
22,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.755240833333332, 42.8545375)",0.008055555555555555
23,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.847046470588236, 42.589721764705885)",0.0125
24,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.902218705882355, 42.55360070588235)",1.1919444444444445
25,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,"(16.908441818181817, 42.54693054545454)",0.4141666666666667
26,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,Other,0.7113888888888888
80,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-04,Unknown,9.219444444444445
27,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-05,"(16.714510607950118, 42.95582645752143)",15.215555555555557
28,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-05,Other,3.9194444444444443
89,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-05,Unknown,4.864999999999998
29,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,"(16.713679583333334, 42.957827083333335)",0.0005555555555555556
30,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,"(16.714510607950118, 42.95582645752143)",15.215833333333332
31,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,"(16.71691942622951, 42.95578942622951)",0.0002777777777777778
32,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,"(16.784054, 42.947344)",0.014166666666666666
33,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,"(16.7869165625, 42.96190515625)",0.24
34,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,Other,0.49777777777777776
91,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-06,Unknown,8.03138888888889
35,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-07,"(16.714510607950118, 42.95582645752143)",21.82194444444444
36,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-07,Other,0.2161111111111111
97,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-07,Unknown,1.9619444444444483
37,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-08,"(16.714510607950118, 42.95582645752143)",20.930833333333332
38,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-08,Other,1.2975
99,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-08,Unknown,1.7716666666666683
39,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-09,"(16.713679583333334, 42.957827083333335)",0.18055555555555555
40,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-09,"(16.714510607950118, 42.95582645752143)",5.988333333333333
41,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-09,"(16.7869165625, 42.96190515625)",1.4277777777777778
42,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-09,Other,1.7141666666666666
101,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-09,Unknown,14.689166666666667
43,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,"(16.713679583333334, 42.957827083333335)",0.2152777777777778
44,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,"(16.714510607950118, 42.95582645752143)",10.789444444444445
45,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,"(16.71691942622951, 42.95578942622951)",0.4663888888888889
46,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,"(16.773647, 42.736835)",0.0033333333333333335
47,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,"(16.788925454545456, 42.965807272727275)",0.014722222222222222
48,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,Other,0.9966666666666667
105,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-10,Unknown,11.514166666666664
49,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.714510607950118, 42.95582645752143)",11.29138888888889
50,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.71691942622951, 42.95578942622951)",0.021944444444444444
51,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.719844705882352, 42.950097647058826)",0.03166666666666667
52,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.727044375, 42.9327325)",0.020555555555555556
53,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.755240833333332, 42.8545375)",0.007222222222222222
54,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.847046470588236, 42.589721764705885)",0.009166666666666667
55,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.902218705882355, 42.55360070588235)",1.6636111111111112
56,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,"(16.908441818181817, 42.54693054545454)",0.42444444444444446
57,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,Other,0.0
111,42181141-adf9-2b5d-deea-18a2a9234a11,2023-10-11,Unknown,10.53
