,Device_ID_geo,Location_Name,Service_Provider_ID,Latitude,Longitude,Timestamp,Cluster
1,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89216,35.49209,2023-09-26 01:06:11,0
2,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.8922,35.49205,2023-09-26 01:12:06,0
3,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89221,35.49208,2023-09-26 01:18:56,0
4,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89217,35.49202,2023-09-26 01:26:01,0
5,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89222,35.49206,2023-09-26 01:41:13,0
6,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89218,35.49206,2023-09-26 01:47:01,0
7,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89213,35.49204,2023-09-26 01:55:59,0
8,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89214,35.4921,2023-09-26 02:01:08,0
9,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89212,35.4921,2023-09-26 02:14:41,0
10,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89217,35.49209,2023-09-26 02:19:33,0
11,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89217,35.49204,2023-09-26 02:26:21,0
12,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89217,35.49205,2023-09-26 02:31:26,0
13,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89214,35.49206,2023-09-26 02:32:42,0
14,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89214,35.49208,2023-09-26 02:37:53,0
15,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89213,35.49204,2023-09-26 02:47:37,0
16,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89182,35.492,2023-09-26 08:51:46,0
17,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89197,35.49203,2023-09-26 08:58:21,0
18,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89192,35.49192,2023-09-26 09:03:55,0
19,b799f49f-81b1-491b-ab99-9092bc8c7325,b799f49f-81b1-491b-ab99-9092bc8c7325,9,33.89185,35.49204,2023-09-26 09:11:01,0
