,index,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
0,0,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95588,2023-09-25 00:30:10,42181141-adf9-2b5d-deea-18a2a9234a11,9
1,1,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95581,2023-09-25 00:30:25,42181141-adf9-2b5d-deea-18a2a9234a11,9
2,2,42181141-adf9-2b5d-deea-18a2a9234a11,16.7146,42.95579,2023-09-25 00:31:09,42181141-adf9-2b5d-deea-18a2a9234a11,9
3,3,42181141-adf9-2b5d-deea-18a2a9234a11,16.7146,42.95572,2023-09-25 00:31:57,42181141-adf9-2b5d-deea-18a2a9234a11,9
4,4,42181141-adf9-2b5d-deea-18a2a9234a11,16.7146,42.95575,2023-09-25 00:31:59,42181141-adf9-2b5d-deea-18a2a9234a11,9
5,5,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.9559,2023-09-25 00:45:48,42181141-adf9-2b5d-deea-18a2a9234a11,9
6,6,42181141-adf9-2b5d-deea-18a2a9234a11,16.71447,42.95587,2023-09-25 00:50:09,42181141-adf9-2b5d-deea-18a2a9234a11,9
7,7,42181141-adf9-2b5d-deea-18a2a9234a11,16.71448,42.95585,2023-09-25 00:51:01,42181141-adf9-2b5d-deea-18a2a9234a11,9
8,8,42181141-adf9-2b5d-deea-18a2a9234a11,16.71442,42.95587,2023-09-25 00:51:51,42181141-adf9-2b5d-deea-18a2a9234a11,9
9,9,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95584,2023-09-25 08:38:03,42181141-adf9-2b5d-deea-18a2a9234a11,9
10,10,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95581,2023-09-25 08:38:06,42181141-adf9-2b5d-deea-18a2a9234a11,9
11,11,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.95584,2023-09-25 08:38:16,42181141-adf9-2b5d-deea-18a2a9234a11,9
12,12,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.9558,2023-09-25 08:38:55,42181141-adf9-2b5d-deea-18a2a9234a11,9
13,13,42181141-adf9-2b5d-deea-18a2a9234a11,16.70198,42.95586,2023-09-25 11:17:38,42181141-adf9-2b5d-deea-18a2a9234a11,9
14,14,42181141-adf9-2b5d-deea-18a2a9234a11,16.70192,42.9558,2023-09-25 11:17:55,42181141-adf9-2b5d-deea-18a2a9234a11,9
15,15,42181141-adf9-2b5d-deea-18a2a9234a11,16.70216,42.95575,2023-09-25 11:35:00,42181141-adf9-2b5d-deea-18a2a9234a11,9
16,16,42181141-adf9-2b5d-deea-18a2a9234a11,16.70212,42.95578,2023-09-25 11:35:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
17,17,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.95582,2023-09-25 14:39:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
18,18,42181141-adf9-2b5d-deea-18a2a9234a11,16.71443,42.95573,2023-09-25 14:54:27,42181141-adf9-2b5d-deea-18a2a9234a11,9
19,19,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95575,2023-09-25 14:59:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
20,20,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95577,2023-09-25 14:59:16,42181141-adf9-2b5d-deea-18a2a9234a11,9
21,21,42181141-adf9-2b5d-deea-18a2a9234a11,16.71443,42.95581,2023-09-25 15:30:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
22,22,42181141-adf9-2b5d-deea-18a2a9234a11,16.71444,42.9558,2023-09-25 15:30:30,42181141-adf9-2b5d-deea-18a2a9234a11,9
