,SERVICE_PROVIDER_ID,COUNTRY_CODE,YEAR_NO,MONTH_NO,DAY_NO,HOUR_NO,NumberOfHits,DATA_TYPE
0,7,434.0,2023.0,2.0,1.0,2.0,1887,GEO DATA
1,7,434.0,2023.0,2.0,1.0,3.0,1919,GEO DATA
2,7,434.0,2023.0,2.0,1.0,4.0,1636,GEO DATA
3,7,434.0,2023.0,2.0,1.0,5.0,1608,GEO DATA
4,7,434.0,2023.0,2.0,1.0,6.0,1974,GEO DATA
5,7,434.0,2023.0,2.0,1.0,7.0,2142,GEO DATA
6,7,434.0,2023.0,2.0,1.0,8.0,2313,GEO DATA
7,7,434.0,2023.0,2.0,1.0,9.0,2447,GEO DATA
8,7,434.0,2023.0,2.0,1.0,10.0,2851,GEO DATA
9,7,434.0,2023.0,2.0,1.0,11.0,2794,GEO DATA
10,7,434.0,2023.0,2.0,1.0,12.0,3002,GEO DATA
11,7,434.0,2023.0,2.0,1.0,13.0,2824,GEO DATA
12,7,434.0,2023.0,2.0,1.0,14.0,2594,GEO DATA
13,7,434.0,2023.0,2.0,1.0,15.0,2703,GEO DATA
14,7,434.0,2023.0,2.0,1.0,16.0,2861,GEO DATA
15,7,434.0,2023.0,2.0,1.0,17.0,3292,GEO DATA
16,7,434.0,2023.0,2.0,1.0,18.0,3565,GEO DATA
17,7,434.0,2023.0,2.0,1.0,19.0,3417,GEO DATA
18,7,434.0,2023.0,2.0,1.0,20.0,3444,GEO DATA
19,7,434.0,2023.0,2.0,1.0,21.0,2907,GEO DATA
20,7,434.0,2023.0,2.0,1.0,22.0,3683,GEO DATA
21,7,434.0,2023.0,2.0,1.0,23.0,3282,GEO DATA
22,7,434.0,2023.0,2.0,2.0,0.0,2691,GEO DATA
23,7,434.0,2023.0,2.0,2.0,1.0,2430,GEO DATA
24,7,434.0,2023.0,2.0,2.0,2.0,1592,GEO DATA
25,7,434.0,2023.0,2.0,2.0,3.0,1833,GEO DATA
26,7,434.0,2023.0,2.0,2.0,4.0,1665,GEO DATA
27,7,434.0,2023.0,2.0,2.0,5.0,1680,GEO DATA
28,7,434.0,2023.0,2.0,2.0,6.0,1888,GEO DATA
29,7,434.0,2023.0,2.0,2.0,7.0,2136,GEO DATA
30,7,434.0,2023.0,2.0,2.0,8.0,2289,GEO DATA
31,7,434.0,2023.0,2.0,2.0,9.0,2680,GEO DATA
32,7,434.0,2023.0,2.0,2.0,10.0,2726,GEO DATA
33,7,434.0,2023.0,2.0,2.0,11.0,2469,GEO DATA
34,7,434.0,2023.0,2.0,2.0,12.0,2845,GEO DATA
35,7,434.0,2023.0,2.0,2.0,13.0,2745,GEO DATA
36,7,434.0,2023.0,2.0,2.0,14.0,2664,GEO DATA
37,7,434.0,2023.0,2.0,2.0,15.0,2392,GEO DATA
38,7,434.0,2023.0,2.0,2.0,16.0,2566,GEO DATA
39,7,434.0,2023.0,2.0,2.0,17.0,2519,GEO DATA
40,7,434.0,2023.0,2.0,2.0,18.0,2578,GEO DATA
41,7,434.0,2023.0,2.0,2.0,19.0,2833,GEO DATA
42,7,434.0,2023.0,2.0,2.0,20.0,2706,GEO DATA
43,7,434.0,2023.0,2.0,2.0,21.0,2675,GEO DATA
44,7,434.0,2023.0,2.0,2.0,22.0,2872,GEO DATA
45,7,434.0,2023.0,2.0,2.0,23.0,2951,GEO DATA
46,7,434.0,2023.0,2.0,3.0,0.0,2480,GEO DATA
47,7,434.0,2023.0,2.0,3.0,1.0,1935,GEO DATA
48,7,434.0,2023.0,2.0,3.0,2.0,1961,GEO DATA
