,device_id,device_name,usage_timeframe,location_latitude,location_longitude
0,0,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665332000,33.8962,35.48632
1,1,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665333000,33.89636,35.48634
2,2,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665334000,33.8964,35.48635
3,3,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665335000,33.89641,35.48635
4,4,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665336000,33.89641,35.48636
5,5,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665337000,33.89642,35.48636
6,6,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665338000,33.89645,35.4864
7,7,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665339000,33.89646,35.48641
8,8,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665340000,33.89647,35.48642
9,9,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665342000,33.89648,35.48642
10,10,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665343000,33.89655,35.48645
11,11,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665344000,33.89655,35.48645
12,12,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665345000,33.89652,35.4866
13,13,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665346000,33.8965,35.48673
14,14,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665347000,33.89638,35.48726
15,15,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665348000,33.89632,35.48752
16,16,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665349000,33.89628,35.48767
17,17,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665350000,33.89618,35.48812
18,18,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665351000,33.89618,35.48812
19,19,74e13c48-241c-4267-946f-4f5e6c9ec6fc,curator magenta brqKDQgHRl,1707665352000,33.8958,35.48788
